bs,discount,num_features,num_selected,lambda,kernel1_size,kernel2_size,num_skip,participant1,participant2,test_acc,n_shots,sim_acc,svm_acc,knn_total_acc,Open Door 2,Close Door 2,Close Fridge,Close Dishwasher,Close Drawer 1,Close Drawer 2,Close Drawer 3,Clean Table,Drink from Cup,Toggle Switch,sim Open Door 1,sim Close Door 1,sim Open Fridge,sim Open Dishwasher,sim Open Drawer 1,sim Open Drawer 2,sim Open Drawer 3,svm Open Door 1,svm Close Door 1,svm Open Fridge,svm Open Dishwasher,svm Open Drawer 1,svm Open Drawer 2,svm Open Drawer 3,knn Open Door 1,knn Close Door 1,knn Open Fridge,knn Open Dishwasher,knn Open Drawer 1,knn Open Drawer 2,knn Open Drawer 3,len_source,len_target,sim_source,sim_target,svm_source,svm_target,knn_source,knn_target
80,0.9,256,2,0.0001,1,1,1,1,same,0.9858457183297947,1,0.534453781512605,0.534453781512605,0.534453781512605,0.9142857142857143,1.0,0.9879518072289156,1.0,1.0,1.0,1.0,0.9886363636363636,0.9920814479638009,0.6666666666666666,0.49411764705882355,0.047058823529411764,0.4470588235294118,0.6705882352941176,0.6,0.5764705882352941,0.9058823529411765,0.49411764705882355,0.047058823529411764,0.4470588235294118,0.6705882352941176,0.6,0.5764705882352941,0.9058823529411765,0.49411764705882355,0.047058823529411764,0.4470588235294118,0.6705882352941176,0.6,0.5764705882352941,0.9058823529411765,1067,1067,0.5454545454545454,0.8791002811621368,False,True,0.5763823805060918,0.9184629803186504
80,0.9,256,2,0.0001,1,1,1,1,same,0.9858457183297947,2,0.7619047619047619,0.7431972789115646,0.7414965986394558,0.9142857142857143,1.0,0.9879518072289156,1.0,1.0,1.0,1.0,0.9886363636363636,0.9920814479638009,0.6666666666666666,0.8333333333333334,0.9404761904761905,0.6547619047619048,0.7380952380952381,0.6785714285714286,0.6428571428571429,0.8452380952380952,0.8809523809523809,0.9047619047619048,0.6666666666666666,0.7261904761904762,0.6904761904761905,0.5,0.8333333333333334,0.9047619047619048,0.8452380952380952,0.40476190476190477,0.6904761904761905,0.8452380952380952,0.6547619047619048,0.8452380952380952,1060,1060,0.560377358490566,0.8783018867924528,0.14150943396226415,0.9924528301886792,0.7405660377358491,0.9367924528301886
80,0.9,256,2,0.0001,1,1,1,1,same,0.9858457183297947,3,0.7951807228915663,0.7693631669535284,0.774526678141136,0.9142857142857143,1.0,0.9879518072289156,1.0,1.0,1.0,1.0,0.9886363636363636,0.9920814479638009,0.6666666666666666,0.9036144578313253,0.891566265060241,0.7349397590361446,0.7349397590361446,0.7108433734939759,0.6385542168674698,0.9518072289156626,0.963855421686747,0.6626506024096386,0.7951807228915663,0.6987951807228916,0.7228915662650602,0.6144578313253012,0.927710843373494,0.9156626506024096,0.8313253012048193,0.5783132530120482,0.6506024096385542,0.8433734939759037,0.6385542168674698,0.963855421686747,1053,1053,0.5764482431149098,0.886039886039886,0.31339031339031337,0.9601139601139601,0.7255460588793922,0.9411206077872745
80,0.9,256,2,0.0001,1,1,1,1,same,0.9858457183297947,4,0.8083623693379791,0.8066202090592335,0.8118466898954704,0.9142857142857143,1.0,0.9879518072289156,1.0,1.0,1.0,1.0,0.9886363636363636,0.9920814479638009,0.6666666666666666,0.9024390243902439,0.9390243902439024,0.7439024390243902,0.7560975609756098,0.6707317073170732,0.6829268292682927,0.9634146341463414,0.9024390243902439,0.9024390243902439,0.8170731707317073,0.6951219512195121,0.6951219512195121,0.6585365853658537,0.975609756097561,0.926829268292683,0.9024390243902439,0.7073170731707317,0.6951219512195121,0.8292682926829268,0.6829268292682927,0.9390243902439024,1046,1046,0.5564053537284895,0.9034416826003824,0.5162523900573613,0.9541108986615678,0.7552581261950286,0.9407265774378585
80,0.9,256,2,0.0001,1,1,1,1,same,0.9858457183297947,5,0.8112874779541446,0.8148148148148148,0.8253968253968254,0.9142857142857143,1.0,0.9879518072289156,1.0,1.0,1.0,1.0,0.9886363636363636,0.9920814479638009,0.6666666666666666,0.8888888888888888,0.9506172839506173,0.7777777777777778,0.7530864197530864,0.6666666666666666,0.691358024691358,0.9506172839506173,0.9012345679012346,0.9506172839506173,0.8024691358024691,0.7160493827160493,0.6790123456790124,0.6790123456790124,0.9753086419753086,0.9135802469135802,0.9629629629629629,0.7160493827160493,0.7160493827160493,0.8395061728395061,0.6790123456790124,0.9506172839506173,1039,1039,0.5611164581328201,0.904716073147257,0.6140519730510106,0.944177093358999,0.793070259865255,0.933589990375361
80,0.9,256,2,0.0001,1,1,1,1,different,0.9794762915782024,1,0.3356510745891277,0.3356510745891277,0.3356510745891277,0.9214285714285714,0.9354838709677419,0.9518072289156626,0.9777777777777777,1.0,0.875,0.9705882352941176,0.9886363636363636,0.996606334841629,0.6666666666666666,0.7079646017699115,0.3938053097345133,0.061946902654867256,0.0752212389380531,0.017699115044247787,0.28761061946902655,0.8053097345132744,0.7079646017699115,0.3938053097345133,0.061946902654867256,0.0752212389380531,0.017699115044247787,0.28761061946902655,0.8053097345132744,0.7079646017699115,0.3938053097345133,0.061946902654867256,0.0752212389380531,0.017699115044247787,0.28761061946902655,0.8053097345132744,1403,1403,0.20099786172487527,0.9600855310049893,0.08553100498930863,0.9935851746258019,0.39059158945117606,0.9857448325017819
80,0.9,256,2,0.0001,1,1,1,1,different,0.9794762915782024,2,0.3942857142857143,0.3942857142857143,0.36063492063492064,0.9214285714285714,0.9354838709677419,0.9518072289156626,0.9777777777777777,1.0,0.875,0.9705882352941176,0.9886363636363636,0.996606334841629,0.6666666666666666,0.7288888888888889,0.25333333333333335,0.2,0.6577777777777778,0.30666666666666664,0.28444444444444444,0.3288888888888889,0.6711111111111111,0.24444444444444444,0.3111111111111111,0.4222222222222222,0.4533333333333333,0.3333333333333333,0.3244444444444444,0.5377777777777778,0.30666666666666664,0.30666666666666664,0.32,0.37777777777777777,0.26222222222222225,0.41333333333333333,1393,1393,0.6180904522613065,0.5843503230437904,0.16223977027997127,0.9985642498205313,0.5068198133524767,0.9641062455132807
80,0.9,256,2,0.0001,1,1,1,1,different,0.9794762915782024,3,0.4298469387755102,0.444515306122449,0.4336734693877551,0.9214285714285714,0.9354838709677419,0.9518072289156626,0.9777777777777777,1.0,0.875,0.9705882352941176,0.9886363636363636,0.996606334841629,0.6666666666666666,0.7589285714285714,0.38839285714285715,0.44642857142857145,0.5625,0.25,0.24107142857142858,0.36160714285714285,0.7767857142857143,0.3794642857142857,0.5848214285714286,0.46875,0.32142857142857145,0.23660714285714285,0.34375,0.6741071428571429,0.4375,0.5982142857142857,0.3080357142857143,0.375,0.26785714285714285,0.375,1383,1383,0.6760665220535069,0.34634851771511205,0.3224873463485177,0.9963846710050615,0.6023138105567607,0.9609544468546638
80,0.9,256,2,0.0001,1,1,1,1,different,0.9794762915782024,4,0.5003203074951954,0.5233824471492633,0.4714926329276105,0.9214285714285714,0.9354838709677419,0.9518072289156626,0.9777777777777777,1.0,0.875,0.9705882352941176,0.9886363636363636,0.996606334841629,0.6666666666666666,0.7399103139013453,0.47085201793721976,0.6502242152466368,0.4260089686098655,0.3991031390134529,0.2556053811659193,0.5605381165919282,0.7443946188340808,0.3901345291479821,0.6457399103139013,0.40358744394618834,0.5201793721973094,0.3721973094170404,0.5874439461883408,0.45739910313901344,0.4618834080717489,0.4977578475336323,0.3183856502242152,0.515695067264574,0.5022421524663677,0.547085201793722,1374,1374,0.7081513828238719,0.3005822416302766,0.5356622998544396,0.9708879184861717,0.6754002911208151,0.9672489082969432
80,0.9,256,2,0.0001,1,1,1,1,different,0.9794762915782024,5,0.5173745173745173,0.5122265122265123,0.4942084942084942,0.9214285714285714,0.9354838709677419,0.9518072289156626,0.9777777777777777,1.0,0.875,0.9705882352941176,0.9886363636363636,0.996606334841629,0.6666666666666666,0.7477477477477478,0.5,0.5900900900900901,0.42342342342342343,0.44144144144144143,0.38288288288288286,0.536036036036036,0.7477477477477478,0.4369369369369369,0.6531531531531531,0.3918918918918919,0.4594594594594595,0.44144144144144143,0.45495495495495497,0.5315315315315315,0.481981981981982,0.481981981981982,0.3063063063063063,0.509009009009009,0.6036036036036037,0.545045045045045,1366,1366,0.7013177159590044,0.5497803806734992,0.5805270863836017,0.9677891654465594,0.6171303074670571,0.9648609077598829
80,0.9,256,2,0.0001,1,1,1,2,same,0.9780285035629454,1,0.670020120724346,0.670020120724346,0.670020120724346,0.9253731343283582,0.9664429530201343,0.9515151515151515,0.9223300970873787,1.0,1.0,0.9696969696969697,0.9796747967479674,0.9958217270194986,0.989010989010989,0.8169014084507042,0.9436619718309859,0.38028169014084506,0.36619718309859156,0.6197183098591549,0.8591549295774648,0.704225352112676,0.8169014084507042,0.9436619718309859,0.38028169014084506,0.36619718309859156,0.6197183098591549,0.8591549295774648,0.704225352112676,0.8169014084507042,0.9436619718309859,0.38028169014084506,0.36619718309859156,0.6197183098591549,0.8591549295774648,0.704225352112676,1049,1049,0.6129647283126788,0.8017159199237369,0.02669208770257388,1.0,0.6453765490943756,0.4947569113441373
80,0.9,256,2,0.0001,1,1,1,2,same,0.9780285035629454,2,0.6836734693877551,0.7,0.6204081632653061,0.9253731343283582,0.9664429530201343,0.9515151515151515,0.9223300970873787,1.0,1.0,0.9696969696969697,0.9796747967479674,0.9958217270194986,0.989010989010989,0.9285714285714286,0.8428571428571429,0.5142857142857142,0.5285714285714286,0.3,0.7857142857142857,0.8857142857142857,0.9285714285714286,0.8428571428571429,0.5142857142857142,0.5142857142857142,0.4857142857142857,0.8142857142857143,0.8,0.9,0.9,0.44285714285714284,0.5428571428571428,0.6,0.12857142857142856,0.8285714285714286,1042,1042,0.6372360844529751,0.5690978886756238,0.5028790786948176,0.9165067178502879,0.7216890595009597,0.7927063339731286
80,0.9,256,2,0.0001,1,1,1,2,same,0.9780285035629454,3,0.7349896480331263,0.7412008281573499,0.7370600414078675,0.9253731343283582,0.9664429530201343,0.9515151515151515,0.9223300970873787,1.0,1.0,0.9696969696969697,0.9796747967479674,0.9958217270194986,0.989010989010989,0.9130434782608695,0.855072463768116,0.5072463768115942,0.6666666666666666,0.6521739130434783,0.7246376811594203,0.8260869565217391,0.8985507246376812,0.855072463768116,0.5507246376811594,0.6231884057971014,0.7246376811594203,0.7391304347826086,0.7971014492753623,0.8985507246376812,0.8840579710144928,0.5652173913043478,0.7391304347826086,0.6666666666666666,0.5652173913043478,0.8405797101449275,1035,1035,0.6154589371980677,0.3497584541062802,0.5951690821256038,0.9169082125603865,0.6811594202898551,0.851207729468599
80,0.9,256,2,0.0001,1,1,1,2,same,0.9780285035629454,4,0.7163865546218487,0.7331932773109243,0.7100840336134454,0.9253731343283582,0.9664429530201343,0.9515151515151515,0.9223300970873787,1.0,1.0,0.9696969696969697,0.9796747967479674,0.9958217270194986,0.989010989010989,0.8970588235294118,0.9117647058823529,0.6323529411764706,0.4852941176470588,0.5147058823529411,0.7352941176470589,0.8382352941176471,0.8676470588235294,0.9117647058823529,0.6029411764705882,0.5294117647058824,0.7058823529411765,0.75,0.7647058823529411,0.8235294117647058,0.9852941176470589,0.5441176470588235,0.7205882352941176,0.5,0.6029411764705882,0.7941176470588235,1028,1028,0.6371595330739299,0.4085603112840467,0.6731517509727627,0.9250972762645915,0.7441634241245136,0.8803501945525292
80,0.9,256,2,0.0001,1,1,1,2,same,0.9780285035629454,5,0.6908315565031983,0.7334754797441365,0.7313432835820896,0.9253731343283582,0.9664429530201343,0.9515151515151515,0.9223300970873787,1.0,1.0,0.9696969696969697,0.9796747967479674,0.9958217270194986,0.989010989010989,0.746268656716418,0.9701492537313433,0.6716417910447762,0.5223880597014925,0.26865671641791045,0.7910447761194029,0.8656716417910447,0.8059701492537313,0.9701492537313433,0.7313432835820896,0.5074626865671642,0.47761194029850745,0.7910447761194029,0.8507462686567164,0.7611940298507462,0.9850746268656716,0.582089552238806,0.7611940298507462,0.44776119402985076,0.6716417910447762,0.9104477611940298,1021,1021,0.6425073457394711,0.40842311459353575,0.6993143976493633,0.9138099902056807,0.7443682664054848,0.8795298726738492
80,0.9,256,2,0.0001,1,1,1,2,different,0.9726840855106889,1,0.35825892857142855,0.35825892857142855,0.35825892857142855,0.9477611940298507,0.9798657718120806,0.9515151515151515,0.941747572815534,1.0,1.0,0.9545454545454546,0.9796747967479674,0.9930362116991643,0.9340659340659341,0.80859375,0.24609375,0.17578125,0.3046875,0.234375,0.08203125,0.65625,0.80859375,0.24609375,0.17578125,0.3046875,0.234375,0.08203125,0.65625,0.80859375,0.24609375,0.17578125,0.3046875,0.234375,0.08203125,0.65625,1674,1674,0.3918757467144564,0.9241338112305855,0.15949820788530467,0.9623655913978495,0.6660692951015532,0.7962962962962963
80,0.9,256,2,0.0001,1,1,1,2,different,0.9726840855106889,2,0.334453781512605,0.33725490196078434,0.3254901960784314,0.9477611940298507,0.9798657718120806,0.9515151515151515,0.941747572815534,1.0,1.0,0.9545454545454546,0.9796747967479674,0.9930362116991643,0.9340659340659341,0.792156862745098,0.25882352941176473,0.17647058823529413,0.2784313725490196,0.20392156862745098,0.10588235294117647,0.5254901960784314,0.7803921568627451,0.26666666666666666,0.16862745098039217,0.24705882352941178,0.2196078431372549,0.07058823529411765,0.6078431372549019,0.7843137254901961,0.2627450980392157,0.11764705882352941,0.30980392156862746,0.20784313725490197,0.11764705882352941,0.47843137254901963,1664,1664,0.45132211538461536,0.9200721153846154,0.3816105769230769,0.9254807692307693,0.6826923076923077,0.859375
80,0.9,256,2,0.0001,1,1,1,2,different,0.9726840855106889,3,0.41001124859392574,0.4049493813273341,0.49268841394825647,0.9477611940298507,0.9798657718120806,0.9515151515151515,0.941747572815534,1.0,1.0,0.9545454545454546,0.9796747967479674,0.9930362116991643,0.9340659340659341,0.8267716535433071,0.2952755905511811,0.2283464566929134,0.47244094488188976,0.2755905511811024,0.16535433070866143,0.6062992125984252,0.8622047244094488,0.2952755905511811,0.35826771653543305,0.29133858267716534,0.2283464566929134,0.11811023622047244,0.6811023622047244,0.6771653543307087,0.5787401574803149,0.43700787401574803,0.3425196850393701,0.5511811023622047,0.1732283464566929,0.6889763779527559,1654,1654,0.5235792019347038,0.8724304715840387,0.5725513905683193,0.9214026602176542,0.7726723095525998,0.8663845223700121
80,0.9,256,2,0.0001,1,1,1,2,different,0.9726840855106889,4,0.4500282326369283,0.46922642574816487,0.5426312817617166,0.9477611940298507,0.9798657718120806,0.9515151515151515,0.941747572815534,1.0,1.0,0.9545454545454546,0.9796747967479674,0.9930362116991643,0.9340659340659341,0.766798418972332,0.33201581027667987,0.32806324110671936,0.5138339920948617,0.2608695652173913,0.2490118577075099,0.6996047430830039,0.7905138339920948,0.3438735177865613,0.4743083003952569,0.5059288537549407,0.22529644268774704,0.2450592885375494,0.6996047430830039,0.6798418972332015,0.6482213438735178,0.525691699604743,0.45454545454545453,0.4980237154150198,0.3201581027667984,0.6719367588932806,1645,1645,0.5495440729483283,0.851063829787234,0.6085106382978723,0.9355623100303951,0.7896656534954407,0.9343465045592705
80,0.9,256,2,0.0001,1,1,1,2,different,0.9726840855106889,5,0.48072562358276644,0.49206349206349204,0.5561224489795918,0.9477611940298507,0.9798657718120806,0.9515151515151515,0.941747572815534,1.0,1.0,0.9545454545454546,0.9796747967479674,0.9930362116991643,0.9340659340659341,0.7301587301587301,0.5079365079365079,0.3968253968253968,0.45634920634920634,0.2698412698412698,0.373015873015873,0.6309523809523809,0.7023809523809523,0.5793650793650794,0.5277777777777778,0.42857142857142855,0.25396825396825395,0.36507936507936506,0.5873015873015873,0.6746031746031746,0.6825396825396826,0.5873015873015873,0.4087301587301587,0.47619047619047616,0.4246031746031746,0.6388888888888888,1636,1636,0.5696821515892421,0.8545232273838631,0.7469437652811736,0.902200488997555,0.8294621026894865,0.9388753056234719
80,0.9,256,2,0.0001,1,1,1,3,same,0.9697406340057637,1,0.6340288924558587,0.6340288924558587,0.6340288924558587,0.9503105590062112,0.9576271186440678,0.9411764705882353,0.9259259259259259,1.0,1.0,0.9722222222222222,0.9903846153846154,0.9752407152682255,0.9821428571428571,0.10112359550561797,0.9662921348314607,0.5842696629213483,0.5056179775280899,0.8089887640449438,0.4943820224719101,0.9775280898876404,0.10112359550561797,0.9662921348314607,0.5842696629213483,0.5056179775280899,0.8089887640449438,0.4943820224719101,0.9775280898876404,0.10112359550561797,0.9662921348314607,0.5842696629213483,0.5056179775280899,0.8089887640449438,0.4943820224719101,0.9775280898876404,1083,1083,0.4727608494921514,0.4801477377654663,False,True,0.6168051708217913,0.9242843951985226
80,0.9,256,2,0.0001,1,1,1,3,same,0.9697406340057637,2,0.8084415584415584,0.7792207792207793,0.7386363636363636,0.9503105590062112,0.9576271186440678,0.9411764705882353,0.9259259259259259,1.0,1.0,0.9722222222222222,0.9903846153846154,0.9752407152682255,0.9821428571428571,0.7954545454545454,0.9090909090909091,0.6931818181818182,0.6136363636363636,0.8636363636363636,0.8181818181818182,0.9659090909090909,0.6136363636363636,0.9659090909090909,0.6363636363636364,0.5909090909090909,0.8636363636363636,0.8181818181818182,0.9659090909090909,0.8522727272727273,0.5227272727272727,0.6477272727272727,0.5795454545454546,0.8636363636363636,0.7272727272727273,0.9772727272727273,1076,1076,0.7397769516728625,0.2778810408921933,0.1421933085501859,0.9944237918215614,0.7323420074349443,0.8838289962825279
80,0.9,256,2,0.0001,1,1,1,3,same,0.9697406340057637,3,0.7996715927750411,0.8045977011494253,0.7454844006568144,0.9503105590062112,0.9576271186440678,0.9411764705882353,0.9259259259259259,1.0,1.0,0.9722222222222222,0.9903846153846154,0.9752407152682255,0.9821428571428571,0.7586206896551724,0.7931034482758621,0.6781609195402298,0.7011494252873564,0.896551724137931,0.8045977011494253,0.9655172413793104,0.6781609195402298,0.8505747126436781,0.7126436781609196,0.7011494252873564,0.9080459770114943,0.8160919540229885,0.9655172413793104,0.8505747126436781,0.5172413793103449,0.45977011494252873,0.8160919540229885,0.8735632183908046,0.7241379310344828,0.9770114942528736,1069,1069,0.6585594013096352,0.3863423760523854,0.42188961646398504,0.9476145930776426,0.7567820392890552,0.8699719363891487
80,0.9,256,2,0.0001,1,1,1,3,same,0.9697406340057637,4,0.7973421926910299,0.8156146179401993,0.7508305647840532,0.9503105590062112,0.9576271186440678,0.9411764705882353,0.9259259259259259,1.0,1.0,0.9722222222222222,0.9903846153846154,0.9752407152682255,0.9821428571428571,0.7093023255813954,0.7906976744186046,0.7441860465116279,0.6627906976744186,0.8953488372093024,0.8023255813953488,0.9767441860465116,0.6976744186046512,0.8372093023255814,0.8372093023255814,0.6744186046511628,0.872093023255814,0.8255813953488372,0.9651162790697675,0.7790697674418605,0.5232558139534884,0.4883720930232558,0.8023255813953488,0.872093023255814,0.813953488372093,0.9767441860465116,1062,1062,0.660075329566855,0.4058380414312618,0.5828625235404896,0.9340866290018832,0.7693032015065914,0.9020715630885122
